Name,Desc,Protocol,AppID,DevProID,DevEUI,JoinEUI,DevAddr,NwkSKey,AppSKey,SNwkSKey,FNwkSKey,AppKey,NwkKey,SkipFcntChk,IsDisable
20250103000,SQ-A02F3A,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000A02F3AFA12F4,0011223344556677,1FC1FACC,30303030613032663361666131326634,30303030613032663361666131326634,30303030613032663361666131326634,30303030613032663361666131326634,30303030613032663361666131326634,30303030613032663361666131326634,True,False
20250103001,SQ-846BC1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000846BC1BDF5F0,0011223344556677,ED358B50,30303030383436626331626466356630,30303030383436626331626466356630,30303030383436626331626466356630,30303030383436626331626466356630,30303030383436626331626466356630,30303030383436626331626466356630,True,False
20250103002,SQ-E067C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000E067C1BDF5F0,0011223344556677,2A9FF390,30303030653036376331626466356630,30303030653036376331626466356630,30303030653036376331626466356630,30303030653036376331626466356630,30303030653036376331626466356630,30303030653036376331626466356630,True,False
20250103003,SQ-2068C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,00002068C1BDF5F0,0011223344556677,73E9E980,30303030323036386331626466356630,30303030323036386331626466356630,30303030323036386331626466356630,30303030323036386331626466356630,30303030323036386331626466356630,30303030323036386331626466356630,True,False
20250103004,SQ-C863C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000C863C1BDF5F0,0011223344556677,54999BD0,30303030633836336331626466356630,30303030633836336331626466356630,30303030633836336331626466356630,30303030633836336331626466356630,30303030633836336331626466356630,30303030633836336331626466356630,True,False
20250103005,SQ-0C68C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,00000C68C1BDF5F0,0011223344556677,9CB32980,30303030306336386331626466356630,30303030306336386331626466356630,30303030306336386331626466356630,30303030306336386331626466356630,30303030306336386331626466356630,30303030306336386331626466356630,True,False
20250103006,SQ-1064C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,00001064C1BDF5F0,0011223344556677,8D9311C0,30303030313036346331626466356630,30303030313036346331626466356630,30303030313036346331626466356630,30303030313036346331626466356630,30303030313036346331626466356630,30303030313036346331626466356630,True,False
20250103007,SQ-B869C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000B869C1BDF5F0,0011223344556677,FFAE5F70,30303030623836396331626466356630,30303030623836396331626466356630,30303030623836396331626466356630,30303030623836396331626466356630,30303030623836396331626466356630,30303030623836396331626466356630,True,False
20250103008,SQ-786BC1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000786BC1BDF5F0,0011223344556677,05AE4B50,30303030373836626331626466356630,30303030373836626331626466356630,30303030373836626331626466356630,30303030373836626331626466356630,30303030373836626331626466356630,30303030373836626331626466356630,True,False
20250103009,SQ-2866C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,00002866C1BDF5F0,0011223344556677,E01D7DA0,30303030323836366331626466356630,30303030323836366331626466356630,30303030323836366331626466356630,30303030323836366331626466356630,30303030323836366331626466356630,30303030323836366331626466356630,True,False
20250103010,SQ-D868C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000D868C1BDF5F0,0011223344556677,FCAE6980,30303030643836386331626466356630,30303030643836386331626466356630,30303030643836386331626466356630,30303030643836386331626466356630,30303030643836386331626466356630,30303030643836386331626466356630,True,False
20250103011,SQ-4064C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,00004064C1BDF5F0,0011223344556677,2BB011C0,30303030343036346331626466356630,30303030343036346331626466356630,30303030343036346331626466356630,30303030343036346331626466356630,30303030343036346331626466356630,30303030343036346331626466356630,True,False
20250103012,SQ-BC63C1,ABP104,950406e8-9142-4236-9906-1a8c9c658043,8417ec04-0234-4391-acb6-5327bc8acc38,0000BC63C1BDF5F0,0011223344556677,6D125BD0,30303030626336336331626466356630,30303030626336336331626466356630,30303030626336336331626466356630,30303030626336336331626466356630,30303030626336336331626466356630,30303030626336336331626466356630,True,False
